anchor = 0

 [1,] 1.000000000 0.000000000 0.0000000000 0.000000000 0.0000000000 0.000000000 0.000000000
 [2,] 0.364431487 0.530612245 0.1010689990 0.003887269 0.0000000000 0.000000000 0.000000000
 [3,] 0.078717201 0.571428571 0.3187560739 0.031098154 0.0000000000 0.000000000 0.000000000
 [4,] 0.002915452 0.367346939 0.5247813411 0.104956268 0.0000000000 0.000000000 0.000000000
 [5,] 0.000000000 0.157434402 0.5952380952 0.246841594 0.0004859086 0.000000000 0.000000000
 [6,] 0.000000000 0.046647230 0.5068027211 0.433430515 0.0131195335 0.000000000 0.000000000
 [7,] 0.000000000 0.005830904 0.3367346939 0.596695821 0.0607385811 0.000000000 0.000000000
 [8,] 0.000000000 0.000000000 0.1666666667 0.666666667 0.1666666667 0.000000000 0.000000000
 [9,] 0.000000000 0.000000000 0.0607385811 0.596695821 0.3367346939 0.005830904 0.000000000
[10,] 0.000000000 0.000000000 0.0131195335 0.433430515 0.5068027211 0.046647230 0.000000000
[11,] 0.000000000 0.000000000 0.0004859086 0.246841594 0.5952380952 0.157434402 0.000000000
[12,] 0.000000000 0.000000000 0.0000000000 0.104956268 0.5247813411 0.367346939 0.002915452
[13,] 0.000000000 0.000000000 0.0000000000 0.031098154 0.3187560739 0.571428571 0.078717201
[14,] 0.000000000 0.000000000 0.0000000000 0.003887269 0.1010689990 0.530612245 0.364431487
[15,] 0.000000000 0.000000000 0.0000000000 0.000000000 0.0000000000 0.000000000 1.000000000

 anchor = 1

 [1,] 0.470507545 0.455804184 0.0712728127 0.002415459 0.0000000000 0.000000000 0.000000000
 [2,] 0.171467764 0.572359396 0.2368491680 0.019323671 0.0000000000 0.000000000 0.000000000
 [3,] 0.037037037 0.473379630 0.4243659420 0.065217391 0.0000000000 0.000000000 0.000000000
 [4,] 0.001371742 0.282578875 0.5614600107 0.154589372 0.0000000000 0.000000000 0.000000000
 [5,] 0.000000000 0.120535714 0.5786657054 0.300312672 0.0004859086 0.000000000 0.000000000
 [6,] 0.000000000 0.035714286 0.4731588287 0.478007352 0.0131195335 0.000000000 0.000000000
 [7,] 0.000000000 0.004464286 0.3087566548 0.626040478 0.0607385811 0.000000000 0.000000000
 [8,] 0.000000000 0.000000000 0.1521739130 0.681159420 0.1666666667 0.000000000 0.000000000
 [9,] 0.000000000 0.000000000 0.0554569654 0.601977437 0.3367346939 0.005830904 0.000000000
[10,] 0.000000000 0.000000000 0.0119787045 0.434571344 0.5068027211 0.046647230 0.000000000
[11,] 0.000000000 0.000000000 0.0004436557 0.246883847 0.5952380952 0.157434402 0.000000000
[12,] 0.000000000 0.000000000 0.0000000000 0.104956268 0.5247813411 0.367346939 0.002915452
[13,] 0.000000000 0.000000000 0.0000000000 0.031098154 0.3187560739 0.571428571 0.078717201
[14,] 0.000000000 0.000000000 0.0000000000 0.003887269 0.1010689990 0.530612245 0.364431487
[15,] 0.000000000 0.000000000 0.0000000000 0.000000000 0.0000000000 0.000000000 1.000000000
