BALAENA "Bowhead whales"
BALAENOPTERA "Rorquals"
"BALAENOPTERA MUSCULUS" "Blue whale"
BERARDIUS "Giant bottle-nosed whales"
CEPHALORHYNCHUS "Commerson's Dolphins"
DELPHINAPTERUS "White whales"
DELPHINUS "Common dolphins"
ESCHRICHTIUS "Grey whales"
EUBALAENA "Right whales"
GLOBICEPHALA "Pilot whales"
GRAMPUS "Risso's dolphins"
HYPEROODON "Bottle-nosed whales"
INIA "Amazon dolphins"
KOGIA "Pygmy sperm whales"
LAGENORHYNCHUS "White-sided dolphins"
LIPOTES "Chinese river dolphins"
LISSODELPHIS "Right whale dolphins"
MEGAPTERA "Humpback whales"
MESOPLODON "Sowerby's whales"
MONODON "Narwhals"
NEOBALAENA "Pygmy right whales"
NEOPHOCAENA "Finless black porpoises"
ORCAELLA "Irawady dolphins"
ORCINUS "Killer whales"
PHOCAENA "Common porpoises"
PHYSETER "Sperm whales"
PLATANISTA "Gangetic dolphins"
PSEUDORCA "False killer whales"
SOTALIA "Guyanian river dolphins"
SOUSA "Cameroun's dolphins"
STENELLA "Spotted dolphins"
STENO "Rough toothed dolphins"
STENODELPHIS "La Plata's dolphins"
TASMACETUS "Shepherd's beaked whales"
TURSIOPS "Bottle-nosed dolphins"
ZIPHIUS "Goosebeak whales"
