"A" "B" "C" "D"
"1" 2 2 1 2
"2" 2 2 2 5
"3" 4 3 2 5
"4" 2 5 4 2
"5" 4 2 1 5
"6" 1 4 1 5
"7" 1 2 2 3
"8" 1 3 2 4
"9" 3 2 2 4
"10" 3 5 5 2
"11" 3 2 3 3
"12" 3 4 3 5
"13" 2 2 2 3
"14" 4 4 4 3
"15" 3 4 3 3
"16" 2 5 3 3
"17" 2 5 2 3
"18" 2 2 4 4
"19" 5 5 3 3
"20" 3 3 3 5
"21" 4 4 3 3
"22" 2 2 2 2
"23" 3 4 2 5
"24" 2 4 2 3
"25" 1 1 2 4
"26" 4 4 4 3
"27" 2 4 3 4
"28" 2 4 3 2
"29" 2 4 4 2
"30" 2 2 2 4
"31" 1 3 1 2
"32" 2 2 3 4
"33" 3 4 4 4
"34" 1 3 3 2
"35" 2 2 1 3
"36" 2 4 2 4
"37" 1 2 2 4
"38" 2 4 4 3
"39" 3 3 4 3
"40" 2 2 2 5
"41" 4 4 4 4
"42" 2 3 5 4
"43" 4 4 3 5
"44" 3 3 2 3
"45" 3 4 1 4
"46" 4 3 2 2
"47" 3 2 1 4
"48" 2 2 3 3
"49" 4 2 1 2
"50" 2 3 2 2
"51" 1 1 1 4
"52" 2 3 2 4
"53" 3 3 3 2
"54" 2 3 2 3
"55" 2 4 3 2
"56" 2 2 4 4
"57" 4 2 2 3
"58" 3 4 4 3
"59" 1 4 1 5
"60" 3 5 3 3
"61" 3 5 3 3
"62" 2 4 4 4
"63" 4 3 1 5
"64" 2 5 1 4
"65" 3 4 4 4
"66" 2 5 3 5
"67" 1 5 1 3
"68" 2 5 5 1
"69" 4 3 1 5
"70" 2 4 4 2
"71" 2 2 2 5
"72" 3 2 1 4
"73" 1 3 3 2
"74" 3 4 4 4
"75" 5 5 4 4
"76" 2 2 2 4
"77" 5 4 4 4
"78" 5 4 4 2
"79" 2 3 4 4
"80" 2 1 1 5
"81" 3 3 3 2
"82" 2 3 4 2
"83" 4 4 4 4
"84" 2 4 2 2
"85" 4 5 2 3
"86" 2 4 2 3
"87" 2 4 2 2
"88" 2 5 3 1
"89" 3 5 3 4
"90" 2 3 1 3
"91" 2 4 4 2
"92" 4 3 3 2
"93" 3 4 1 5
"94" 1 3 4 2
"95" 3 4 3 3
"96" 4 4 4 2
"97" 1 2 3 4
"98" 2 4 4 4
"99" 2 3 3 2
"100" 3 4 3 2
"101" 2 3 3 4
"102" 2 2 4 3
"103" 2 3 4 2
"104" 2 2 1 4
"105" 2 4 2 3
"106" 2 1 2 3
"107" 1 3 2 3
"108" 2 4 5 2
"109" 2 2 2 3
"110" 1 1 2 4
"111" 2 2 2 4
"112" 2 4 4 3
"113" 2 3 3 3
"114" 4 5 4 2
"115" 3 4 3 2
"116" 1 4 3 3
"117" 1 2 1 2
"118" 4 2 3 4
"119" 5 5 4 3
"120" 1 2 3 4
"121" 1 1 2 3
"122" 2 4 5 4
"123" 4 4 4 3
"124" 2 2 2 4
"125" 3 3 2 5
"126" 1 3 1 4
"127" 2 3 3 3
"128" 4 1 1 2
"129" 1 2 2 4
"130" 1 2 2 4
"131" 1 2 4 5
"132" 2 4 3 2
"133" 2 3 3 2
"134" 2 3 1 2
"135" 2 4 4 4
"136" 4 5 3 2
"137" 2 2 2 3
"138" 4 2 2 4
"139" 3 4 2 4
"140" 4 3 3 4
"141" 2 3 2 2
"142" 2 3 2 5
"143" 4 4 4 3
"144" 2 3 3 4
"145" 3 4 3 2
"146" 1 4 3 1
"147" 2 4 4 4
"148" 3 5 2 5
"149" 3 3 2 3
"150" 2 4 4 4
"151" 4 4 4 3
"152" 1 4 3 2
"153" 2 4 2 2
"154" 3 2 1 4
"155" 2 4 3 5
"156" 2 4 4 4
"157" 2 3 4 2
"158" 2 4 1 4
"159" 2 4 3 2
"160" 1 4 2 5
"161" 2 4 3 2
"162" 4 4 3 4
"163" 2 4 2 3
"164" 2 2 2 3
"165" 2 3 2 4
"166" 2 3 2 4
"167" 2 2 2 4
